Node,X coord,Y coord
138,27.29996,56.54046
139,27.29991,56.5405
140,27.29988,56.54054
141,27.29987,56.54058
142,27.29988,56.54063
143,27.29992,56.54068
144,27.29998,56.54072
145,27.30006,56.54075
2359,24.2106,56.95138
5949,27.41507,56.69167
5950,27.41494,56.69227
6919,21.01119,56.55292
6920,21.01113,56.55292
6921,21.01107,56.55293
6922,21.01103,56.55295
6923,21.01101,56.55297
6924,21.01101,56.553
8961,25.38623,57.52851
9847,25.85799,56.51527
9848,25.85791,56.51529
9849,25.85784,56.5153
9850,25.85776,56.5153
9851,25.85767,56.51529
10293,22.60658,57.25869
10294,22.6066,57.25875
10295,22.60663,57.25882
10296,22.60668,57.25889
10297,22.60677,57.25897
10298,22.60687,57.25903
10299,22.60698,57.25908
10300,22.60709,57.25912
13818,24.64681,57.11821
13819,24.64684,57.11824
15139,26.74514,57.17832
15184,25.82269,56.61899
16872,24.11285,56.96913
20269,24.2783,56.99952
20270,24.27808,56.9996
20271,24.27797,56.99965
20272,24.27785,56.99972
20273,24.27777,56.99979
20274,24.27772,56.99987
20275,24.27769,56.99996
20276,24.27769,57.00005
20277,24.27773,57.00013
20278,24.27782,57.00023
20279,24.27795,57.00033
20280,24.27809,57.00043
20417,22.60765,57.25805
20418,22.60746,57.25806
20419,22.60729,57.25808
20420,22.60713,57.25812
20421,22.60696,57.25818
20965,26.74581,57.17823
20966,26.74595,57.17826
20967,26.74605,57.17834
20968,26.74615,57.17853
20969,26.74613,57.17858
22372,26.5228,55.88804
24095,21.98922,56.95749
24096,21.98917,56.95765
24097,21.98909,56.95775
24098,21.98897,56.95784
24099,21.98885,56.95792
24100,21.98867,56.958
25145,24.14947,57.05805
25146,24.14926,57.05804
25147,24.14919,57.05806
25148,24.14894,57.05815
25149,24.14832,57.05846
25150,24.14792,57.05872
25151,24.14779,57.05884
25152,24.14769,57.05898
25153,24.14767,57.05907
25154,24.14768,57.05912
28422,21.59296,57.39574
28920,24.88382,57.15363
30686,25.44904,57.50918
32123,27.34768,56.50239
32189,27.25247,57.13118
37241,26.20436,56.85797
37341,24.15147,57.00658
37524,25.86125,56.51669
37525,25.86122,56.51672
37526,25.86117,56.51676
37527,25.86111,56.51679
37528,25.86106,56.51681
38225,24.18722,56.40694
38226,24.18715,56.40696
38227,24.1871,56.40698
38228,24.18706,56.40701
38229,24.18704,56.40704
38230,24.18703,56.40709
39231,25.38598,57.54687
43945,24.14022,56.95566
43946,24.14088,56.95604
44615,24.19115,56.96172
44820,26.89924,56.17219
44821,26.89908,56.17223
44822,26.89894,56.17229
44823,26.89881,56.17236
44824,26.89871,56.17245
44825,26.89867,56.17253
44826,26.89864,56.17265
45828,24.64445,57.11897
50199,24.1233,56.94136
50200,24.12342,56.94133
50201,24.12356,56.94131
50202,24.1238,56.94134
50203,24.12398,56.9414
51899,25.78377,56.61541
51900,25.7838,56.61547
51901,25.78379,56.61552
51902,25.78377,56.61557
51903,25.78373,56.61562
51904,25.78365,56.61567
51905,25.78357,56.6157
51906,25.78346,56.61572
52026,25.8225,56.61854
54553,24.35925,56.86905
54554,24.35914,56.86971
54555,24.35955,56.87034
54584,21.98676,56.95738
54585,21.98677,56.95751
54586,21.98682,56.95764
54587,21.98692,56.95776
54588,21.98704,56.95788
55878,25.42277,57.53803
55879,25.42277,57.53806
55880,25.42279,57.53809
55881,25.42282,57.53811
57233,24.3088,56.85769
60253,22.57862,57.24939
60396,24.30849,56.85774
61572,23.11331,56.9486
61573,23.11316,56.9487
61574,23.11304,56.94881
61575,23.11297,56.9489
61576,23.1129,56.94903
61595,23.75102,56.63004
61600,25.78321,56.61533
61601,25.78313,56.61538
61602,25.78307,56.61544
61858,21.58629,57.38706
63273,22.47236,56.68154
63274,22.47228,56.68157
63952,25.31806,57.31246
64239,24.88814,57.15384
68851,24.30714,57.00988
68852,24.30764,57.01004
68853,24.30864,57.01037
74576,24.30764,57.0099
74577,24.30857,57.0102
75930,24.14593,56.91067
76754,24.15321,57.01411
77492,24.19164,56.96439
84200,24.24662,56.81168
84201,24.24652,56.81166
84202,24.24645,56.81165
84203,24.24631,56.81164
84204,24.24621,56.81164
84205,24.2461,56.81165
84206,24.24598,56.81167
84207,24.24589,56.81169
84208,24.24577,56.81173
84235,24.31968,57.07576
85445,26.2009,56.84021
85446,26.20092,56.84027
85447,26.20094,56.84032
85448,26.20097,56.84036
85449,26.20103,56.84042
85450,26.20108,56.84046
85451,26.20116,56.84051
85452,24.9425,57.02096
88708,22.47367,56.68168
88709,22.47375,56.68175
88710,22.47382,56.68183
88941,24.14987,57.05813
88942,24.15011,57.05824
88943,24.15018,57.05831
88944,24.15019,57.05839
91814,25.82217,56.61878
91815,25.82219,56.61884
91838,21.01103,56.55303
91839,21.01106,56.55305
91840,21.0111,56.55306
91841,21.01115,56.55307
91923,25.87622,56.49394
92021,21.58616,57.38689
92022,21.58624,57.38694
92023,21.58627,57.38698
92024,21.58629,57.38703
93373,25.21666,56.25277
93452,24.27293,56.8134
93453,24.27312,56.81342
93454,24.2733,56.81345
93455,24.27343,56.81349
93456,24.27354,56.81354
93457,24.27365,56.8136
93458,24.27372,56.81366
93459,24.27378,56.81373
93460,24.27383,56.81381
99075,24.30848,56.85798
101974,25.71489,56.61743
101975,25.71463,56.61774
103780,23.18385,56.97245
106735,24.30843,56.85779
106736,24.30841,56.85783
106737,24.30841,56.85788
106738,24.30843,56.85793
107842,24.1845,56.87816
107843,24.18372,56.87844
108618,24.2002,56.40555
108619,24.20003,56.4056
108620,24.1999,56.40562
108621,24.19971,56.40563
108622,24.19957,56.40561
108623,24.19948,56.40558
116175,26.50594,55.88943
117422,27.68174,57.18679
117423,27.68177,57.18687
117424,27.68177,57.18691
119381,24.24355,56.9877
119382,24.24348,56.98769
119383,24.2434,56.98771
119384,24.24331,56.98776
119385,24.24328,56.98782
119386,24.24329,56.9879
119387,24.24331,56.98798
119388,24.24345,56.98828
123290,26.20441,56.85794
123291,26.20447,56.85792
123292,26.20454,56.85791
123293,26.20462,56.85791
123294,26.20469,56.85792
123295,26.20475,56.85794
123296,26.20479,56.85796
123297,26.20482,56.85798
123406,24.18524,56.87788
124522,22.56856,57.19449
124542,23.18256,56.97194
124543,23.18252,56.97206
124544,23.1827,56.97268
124545,23.18277,56.97284
124546,23.18292,56.9729
126314,25.82272,56.61855
126315,25.82281,56.61858
126316,25.82291,56.61863
126317,25.82297,56.61868
126318,25.82299,56.61874
128197,25.45042,57.50977
129498,26.51998,55.87547
129499,26.51998,55.87551
129500,26.51996,55.87555
129501,26.51993,55.87558
129502,26.51988,55.87561
129503,26.51982,55.87563
129504,26.51977,55.87564
129505,26.5197,55.87565
130646,24.80989,56.73225
130936,24.27208,56.81365
130937,24.27202,56.81371
130938,24.27197,56.81377
130939,24.27193,56.81386
130940,24.27192,56.81393
130941,24.27192,56.81399
130942,24.27195,56.81408
130966,24.09616,56.94303
130967,24.09612,56.94307
130968,24.09608,56.94312
131768,25.70965,56.61851
131769,25.7094,56.61868
131770,25.70931,56.61877
131771,25.70927,56.61885
131772,25.70928,56.61896
131773,25.70936,56.61905
131774,25.70952,56.61917
135042,22.60829,57.25816
135043,22.6084,57.25821
135044,22.60849,57.25826
135045,22.60856,57.25831
135046,22.60862,57.25836
135047,22.60867,57.25843
135048,22.60871,57.25851
135049,22.60873,57.25858
136278,25.71055,56.6194
136279,25.71226,56.61972
139298,21.01076,56.51192
141100,24.07246,56.97484
141258,25.82288,56.61892
141259,25.8228,56.61896
142873,21.58584,57.38722
142874,21.58591,57.38723
142875,21.586,57.38723
142876,21.58609,57.38722
143292,25.27504,57.3131
144040,23.11353,56.9498
144041,23.11371,56.94985
144042,23.11388,56.94989
144043,23.11404,56.94991
144044,23.1142,56.94992
144045,23.1143,56.94992
144399,22.60321,57.24252
144967,24.14784,56.98477
144968,24.14728,56.98499
144969,24.14718,56.98504
144970,24.1471,56.98509
144971,24.14704,56.98514
146222,25.71687,56.61985
146756,21.00689,56.49825
150683,24.09708,56.91614
155216,21.59096,57.38973
155217,21.59088,57.38976
155218,21.59082,57.3898
155219,21.59077,57.38985
156092,24.14114,56.95557
156093,24.14103,56.95552
156094,24.14091,56.95549
156095,24.14075,56.95548
156096,24.14063,56.95549
156097,24.14052,56.95552
156098,24.14045,56.95555
156274,24.0606,57.06417
156275,24.06137,57.06448
157132,22.58524,57.23279
158400,22.56856,57.19532
158413,24.15131,57.00661
158414,24.15126,57.00661
163391,25.21704,56.25209
164374,25.45026,57.51003
167621,25.00083,56.60231
170498,24.64501,57.11956
170499,24.64514,57.11959
170500,24.6453,57.11962
170578,25.38579,57.52835
170593,22.46983,56.6497
172100,23.15532,56.96754
172101,23.1553,56.96757
172102,23.1553,56.96761
172103,23.15532,56.96765
173808,25.35585,57.50307
174852,24.18417,56.87739
174853,24.18408,56.87737
174854,24.184,56.8774
174855,24.1829,56.87786
174856,24.18288,56.87791
174857,24.18289,56.87796
176818,25.78371,56.61536
177278,24.31833,57.06967
177279,24.31833,57.06971
177280,24.31831,57.06975
177281,24.31827,57.06978
177282,24.31821,57.0698
177283,24.31812,57.06981
179869,24.32349,57.07697
180763,24.15044,57.02343
180764,24.15009,57.02356
180799,25.388,57.54694
181310,26.50378,55.86487
181311,26.50378,55.86491
181312,26.50376,55.86495
181313,26.50373,55.86498
181314,26.50367,55.86501
181315,26.50359,55.86503
181316,26.50352,55.86504
181585,21.58556,57.38705
181586,21.58558,57.3871
181587,21.58561,57.38713
182221,26.9223,56.55011
182597,27.03926,57.42569
182753,21.9568,56.96726
182754,21.95675,56.9673
182755,21.95673,56.96735
185295,24.09607,56.94321
185296,24.09607,56.94326
185297,24.09608,56.94332
185298,24.09611,56.94338
189546,25.04868,57.86258
190394,24.19953,56.40518
190395,24.19973,56.40515
190396,24.19992,56.40517
190397,24.2001,56.40521
190398,24.20018,56.40527
190399,24.20022,56.40537
190400,24.20024,56.40549
190944,24.24679,56.81255
194315,22.58626,57.23281
194316,22.58634,57.23288
194317,22.58643,57.23297
194318,22.58664,57.23321
197739,24.21067,56.95129
197740,24.21067,56.95134
197741,24.21065,56.95137
197744,27.25235,57.13124
